GroupName,Iteration,TestCaseID,TransactionType,TestCaseDesription,StartDate,EndDate,Status,Description,Screenshot,Quote Number
"URBAN","","HO_Rating_TC1","Login","","2019/01/15 18:47:01","2019/01/15 18:47:06","PASS","","",""
"URBAN","","HO_Rating_TC1","CreateQuotePolicy","","2019/01/15 18:47:06","2019/01/15 18:47:30","PASS","","",""
"URBAN","","HO_Rating_TC1","ProductInformation","","2019/01/15 18:47:30","2019/01/15 18:49:45","PASS","","",""
"URBAN","","HO_Rating_TC1","PropertyDetails","","2019/01/15 18:49:45","2019/01/15 18:52:19","PASS","","",""
"URBAN","","HO_Rating_TC1","RenovationDetails","","2019/01/15 18:52:19","2019/01/15 18:53:10","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/15 18:53:10","2019/01/15 18:53:21","PASS","","",""
"URBAN","","HO_Rating_TC1","CoverageDetails","","2019/01/15 18:53:21","2019/01/15 18:55:01","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/15 18:55:01","2019/01/15 18:55:12","PASS","","",""
"URBAN","","HO_Rating_TC1","OptionalCoverageDetails","","2019/01/15 18:55:12","2019/01/15 18:55:43","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/15 18:55:43","2019/01/15 18:55:54","PASS","","",""
"URBAN","","HO_Rating_TC1","AdditionalInterests","","2019/01/15 18:55:54","2019/01/15 18:56:56","PASS","","",""
"URBAN","","HO_Rating_TC1","Next","","2019/01/15 18:56:56","2019/01/15 18:57:07","PASS","","",""
"URBAN","","HO_Rating_TC1","UnderwritingQuestions","","2019/01/15 18:57:07","2019/01/15 18:57:22","PASS","","",""
"URBAN","","HO_Rating_TC1","CalculatePremium","","2019/01/15 18:57:22","2019/01/15 18:57:50","PASS","","",""
"URBAN","","HO_Rating_TC1","GetPolicyID","","2019/01/15 18:57:50","2019/01/15 18:58:06","PASS","","",""
"URBAN","","HO_Rating_TC1","PremiumSummaryVerification","","2019/01/15 18:58:59","2019/01/15 18:58:59","FAIL","TestCase: HO_Rating_TC1 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC1_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC1","Save","","2019/01/15 18:59:00","2019/01/15 18:59:22","PASS","","",""
"URBAN","","HO_Rating_TC1","Approve","","2019/01/15 18:59:22","2019/01/15 19:00:28","PASS","","",""
"URBAN","","HO_Rating_TC1","Issuance","","2019/01/15 19:00:28","2019/01/15 19:02:30","PASS","","",""
"URBAN","","HO_Rating_TC1","MakeDownPayment","","2019/01/15 19:02:30","2019/01/15 19:03:48","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/15 19:03:48","2019/01/15 19:03:57","PASS","","",""
"URBAN","","HO_Rating_TC2","Login","","2019/01/15 19:03:57","2019/01/15 19:04:01","PASS","","",""
"URBAN","","HO_Rating_TC2","CreateQuotePolicy","","2019/01/15 19:04:01","2019/01/15 19:04:26","PASS","","",""
"URBAN","","HO_Rating_TC2","ProductInformation","","2019/01/15 19:04:26","2019/01/15 19:06:51","PASS","","",""
"URBAN","","HO_Rating_TC2","PropertyDetails","","2019/01/15 19:06:51","2019/01/15 19:09:17","PASS","","",""
"URBAN","","HO_Rating_TC2","RenovationDetails","","2019/01/15 19:09:17","2019/01/15 19:10:07","PASS","","",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/15 19:10:07","2019/01/15 19:10:18","PASS","","",""
"URBAN","","HO_Rating_TC2","CoverageDetails","","2019/01/15 19:10:19","2019/01/15 19:11:51","PASS","","",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/15 19:11:51","2019/01/15 19:12:03","PASS","","",""
"URBAN","","HO_Rating_TC2","OptionalCoverageDetails","","2019/01/15 19:12:03","2019/01/15 19:12:33","PASS","","",""
"URBAN","","HO_Rating_TC2","OptionalCoverageDetails_1","","2019/01/15 19:12:33","2019/01/15 19:14:06","PASS","","",""
"URBAN","","HO_Rating_TC2","OptionalCoverageDetails_2","","2019/01/15 19:14:06","2019/01/15 19:15:00","PASS","","",""
"URBAN","","HO_Rating_TC2","OptionalCoverageDetails_3","","2019/01/15 19:15:00","2019/01/15 19:15:53","PASS","","",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/15 19:15:53","2019/01/15 19:16:04","PASS","","",""
"URBAN","","HO_Rating_TC2","Next","","2019/01/15 19:16:04","2019/01/15 19:16:16","PASS","","",""
"URBAN","","HO_Rating_TC2","UnderwritingQuestions","","2019/01/15 19:16:16","2019/01/15 19:16:30","PASS","","",""
"URBAN","","HO_Rating_TC2","CalculatePremium","","2019/01/15 19:16:30","2019/01/15 19:16:59","PASS","","",""
"URBAN","","HO_Rating_TC2","GetPolicyID","","2019/01/15 19:16:59","2019/01/15 19:17:15","PASS","","",""
"URBAN","","HO_Rating_TC2","PremiumSummaryVerification","","2019/01/15 19:18:14","2019/01/15 19:18:14","FAIL","TestCase: HO_Rating_TC2 Tranasction: PremiumSummaryVerification Error: Unknown...","file:\\D:\Workspace_PAS_V1\iTAFCommon\URBAN_HO\Resources\Results\\ScreenShots\HO_Rating_TC2_PremiumSummaryVerification_null.jpeg",""
"URBAN","","HO_Rating_TC2","Save","","2019/01/15 19:18:14","2019/01/15 19:18:37","PASS","","",""
"URBAN","","HO_Rating_TC2","Approve","","2019/01/15 19:18:37","2019/01/15 19:19:43","PASS","","",""
"URBAN","","HO_Rating_TC2","Issuance","","2019/01/15 19:19:43","2019/01/15 19:21:45","PASS","","",""
"URBAN","","HO_Rating_TC2","MakeDownPayment","","2019/01/15 19:21:45","2019/01/15 19:23:03","PASS","","",""
"CloseAndLaunchBrowser","","CloseAndLaunchBrowser","CloseAndLaunchBrowser","","2019/01/15 19:23:03","2019/01/15 19:23:10","PASS","","",""
"URBAN","","HO_Rating_TC3","Login","","2019/01/15 19:23:10","2019/01/15 19:23:14","PASS","","",""
"URBAN","","HO_Rating_TC3","CreateQuotePolicy","","2019/01/15 19:23:14","2019/01/15 19:23:39","PASS","","",""
"URBAN","","HO_Rating_TC3","ProductInformation","","2019/01/15 19:23:39","2019/01/15 19:25:55","PASS","","",""
"URBAN","","HO_Rating_TC3","PropertyDetails","","2019/01/15 19:25:55","2019/01/15 19:28:25","PASS","","",""
"URBAN","","HO_Rating_TC3","RenovationDetails","","2019/01/15 19:28:25","2019/01/15 19:29:15","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/15 19:29:15","2019/01/15 19:29:27","PASS","","",""
"URBAN","","HO_Rating_TC3","CoverageDetails","","2019/01/15 19:29:27","2019/01/15 19:31:06","PASS","","",""
"URBAN","","HO_Rating_TC3","Next","","2019/01/15 19:31:06","2019/01/15 19:31:18","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails","","2019/01/15 19:31:18","2019/01/15 19:31:55","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_1","","2019/01/15 19:31:55","2019/01/15 19:32:19","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_2","","2019/01/15 19:32:19","2019/01/15 19:33:12","PASS","","",""
"URBAN","","HO_Rating_TC3","OptionalCoverageDetails_3","","2019/01/15 19:33:12","2019/01/15 19:34:09","PASS","","",""
